Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,2,1102,2,1,1,1,1,1,1,0,94,2,1,7,3,2,5993,19479,8,0,1,11,0,0,80,0,8,0,0,6,4,0,5,1
49,1,279,1,8,0,1,1,2,2,1,61,1,1,6,1,1,5130,24907,1,0,0,23,1,3,80,1,10,3,2,10,7,1,7,0
37,2,1373,1,2,1,4,1,4,3,1,92,1,0,2,2,2,2090,2396,6,0,1,15,0,1,80,0,7,3,2,0,0,0,0,1
33,1,1392,1,3,3,1,1,5,3,0,56,2,0,6,2,1,2909,23159,1,0,1,11,0,2,80,0,8,3,2,8,7,3,0,0
27,2,591,1,2,0,3,1,7,0,1,40,2,0,2,1,1,3468,16632,9,0,0,12,0,3,80,1,6,3,2,2,2,2,2,0
32,1,1005,1,2,1,1,1,8,3,1,79,2,0,2,3,2,3068,11864,0,0,0,13,0,2,80,0,8,2,1,7,7,3,6,0
59,2,1324,1,3,2,3,1,10,2,0,81,3,0,2,0,1,2670,9964,4,0,1,20,1,0,80,3,12,3,1,1,0,0,0,0
30,2,1358,1,24,0,1,1,11,3,1,67,2,0,2,2,0,2693,13335,1,0,0,22,1,1,80,1,1,2,2,1,0,0,0,0
38,1,216,1,23,2,1,1,12,3,1,44,1,2,4,2,2,9526,8787,0,0,0,21,1,1,80,0,10,2,2,9,7,1,8,0
36,2,1299,1,27,2,3,1,13,2,1,94,2,1,0,2,1,5237,16577,6,0,0,13,0,1,80,2,17,3,1,7,7,7,7,0
35,2,809,1,16,2,3,1,14,0,1,84,3,0,2,1,1,2426,16479,0,0,0,13,0,2,80,1,6,5,2,5,4,0,3,0
29,2,153,1,15,1,1,1,15,3,0,49,1,1,2,2,2,4193,12682,0,0,1,12,0,3,80,0,10,3,2,9,5,0,8,0
31,2,670,1,26,0,1,1,16,0,1,31,2,0,6,2,0,2911,15170,1,0,0,17,0,3,80,1,5,1,1,5,2,4,3,0
34,2,1346,1,19,1,3,1,18,1,1,93,2,0,2,3,0,2661,8758,0,0,0,11,0,2,80,1,3,2,2,2,2,1,2,0
28,2,103,1,24,2,1,1,19,2,1,50,1,0,2,2,2,2028,12947,5,0,1,14,0,1,80,0,6,4,2,4,2,0,3,1
29,2,1389,1,21,3,1,1,20,1,0,51,3,2,4,0,0,9980,10195,1,0,0,11,0,2,80,1,10,1,2,10,9,8,8,0
32,2,334,1,5,1,1,1,21,0,1,80,3,0,6,1,0,3298,15053,0,0,1,12,0,3,80,2,7,5,1,6,2,0,5,0
22,0,1123,1,16,1,3,1,22,3,1,96,3,0,2,3,0,2935,7324,1,0,1,13,0,1,80,2,1,2,1,1,0,0,0,0
53,2,1219,2,2,3,1,1,23,0,0,78,1,3,3,3,1,15427,22021,2,0,0,16,0,2,80,0,31,3,2,25,8,3,7,0
38,2,371,1,2,2,1,1,24,3,1,45,2,0,6,3,2,3944,4306,5,0,1,11,0,2,80,0,6,3,2,3,2,1,2,0
24,0,673,1,11,1,4,1,26,0,0,96,3,1,4,2,0,4011,8232,0,0,0,18,0,3,80,1,5,5,1,4,2,1,3,0
36,2,1218,2,9,3,1,1,27,2,1,82,1,0,8,0,2,3407,6986,7,0,0,23,1,1,80,0,10,4,2,5,3,0,3,1
34,2,419,1,7,3,1,1,28,0,0,53,2,2,5,1,2,11994,21293,0,0,0,11,0,2,80,0,13,4,2,12,6,2,11,0
21,2,391,1,15,1,1,1,30,2,1,96,2,0,6,3,2,1232,19281,1,0,0,14,0,3,80,0,0,6,2,0,0,0,0,0
34,2,699,1,6,0,3,1,31,1,1,83,2,0,6,0,2,2960,17102,2,0,0,11,0,2,80,0,8,2,2,4,2,1,3,1
53,2,1282,1,5,2,4,1,32,2,0,58,2,4,3,2,0,19094,10735,4,0,0,11,0,3,80,1,26,3,1,14,13,4,8,0
32,1,1125,1,16,0,1,1,33,1,0,72,0,0,6,0,2,3919,4681,1,0,1,22,1,1,80,0,10,5,2,10,2,6,7,1
42,2,691,2,8,3,2,1,35,2,1,48,2,1,7,1,1,6825,21173,0,0,0,11,0,3,80,1,10,2,2,9,7,4,2,0
44,2,477,1,7,3,3,1,36,0,0,42,1,2,0,3,1,10248,2094,3,0,0,14,0,3,80,1,24,4,2,22,6,5,17,0
46,2,705,2,2,3,2,1,38,1,0,83,2,4,3,0,2,18947,22822,3,0,0,12,0,3,80,0,22,2,1,2,2,2,1,0
33,2,924,1,2,2,3,1,39,2,1,78,2,0,2,3,2,2496,6670,4,0,0,11,0,3,80,0,7,3,2,1,1,0,0,0
44,2,1459,1,10,3,4,1,40,3,1,41,2,1,0,3,1,6465,19121,2,0,1,13,0,3,80,0,9,5,3,4,2,1,3,0
30,2,125,1,9,1,3,1,41,3,1,83,1,0,2,2,2,2206,16117,1,0,0,13,0,0,80,0,10,5,2,10,0,1,8,0
39,2,895,2,5,2,5,1,42,3,1,56,2,1,8,3,1,2086,3335,3,0,0,14,0,2,80,1,19,6,3,1,0,0,0,1
24,2,813,1,1,2,3,1,45,1,1,61,2,0,6,3,1,2293,3020,2,0,1,16,0,0,80,1,6,2,1,2,0,2,0,1
43,2,1273,1,2,1,3,1,46,3,0,72,3,0,6,2,0,2645,21923,1,0,0,12,0,3,80,2,6,3,1,5,3,1,4,0
